0.00268	48700	16400
0.00536	76090	11800
0.00804	89630	9100
0.01072	93970	7150
0.0134	92260	5620
0.01608	86880	4400
0.01876	79650	3480
0.02144	71920	2760
0.02412	64640	2240
0.02680	58300	1800
0.00268	33400	44000
0.00536	52000	32000
0.00804	61500	24700
0.01072	64400	19400
0.0134	63200	15200
0.01608	59540	12000
0.01876	54590	9450
0.02144	49300	7520
0.02412	44300	6040
0.02680	39970	4940
0.00268	2740	57900
0.00536	4280	41800
0.00804	5040	32400
0.01072	5290	25400
0.0134	5190	19940
0.01608	4890	15700
0.01876	4480	12390
0.02144	4050	9850
0.02412	3640	7915
0.02680	3280	6470
